,Continent,GDP_Capita,IncomeGroup,Area,Total_Edge_Length,Density,Edge_No,Ave_Path_Length,Assortativity,Diameter,Max_Degree,max_5perc_isolated,max_10perc_isolated,max_20perc_isolated,mean_5perc_isolated,mean_10perc_isolated,mean_20perc_isolated,min_5perc_isolated,min_10perc_isolated,min_20perc_isolated,max_5perc_surloss_e2,max_10perc_surloss_e2,max_20perc_surloss_e2,mean_5perc_surloss_e2,mean_10perc_surloss_e2,mean_20perc_surloss_e2,min_5perc_surloss_e2,min_10perc_surloss_e2,min_20perc_surloss_e2,areaLog,edgeLog,edgeAreaLog
Aruba,Central-America,29007.6930034887,High income,181.84303086462685,303427.03816294705,0.006162644192164825,944,15.496308288887002,-0.008501132869694528,39,10,2.895106929828816,10.026950452629396,42.62884382448326,2.3529330658889256,4.508243717439236,10.798400675668212,1.8107592019490355,1.0793204751564696,0.5579036348267117,0.1127762369202791,0.24204826396169016,0.6561222370400279,0.0384701466345501,0.09550699898483624,0.3209556302281645,0.003013588745380727,0.02176991535676567,0.11276235977885135,5.2031438471607,12.62289645914059,7.41975261197989
Afghanistan,Asia,502.115486913067,Low income,645838.7991077948,97924429.61563794,0.0001018767240786644,35981,109.89110246870541,0.10615637584916077,326,11,47.149183504013294,76.63469921534438,99.18811063712674,16.911097092547564,45.51166480311874,96.43210218586918,4.579190589553283,19.67511553003781,84.06312197895934,0.9592579742543442,0.9931149714508596,0.9999739866218438,0.653380184699596,0.8628335564069112,0.9932720770063744,0.4816493792478646,0.7246092802792077,0.9430025053903802,13.378305214640367,18.39970661279293,5.0214013981525625
Angola,Africa,2973.5911597986797,Lower middle income,1251923.6332830791,41298146.23164623,0.0005316087450899441,8854,54.628989212077066,0.13700600308478816,130,13,36.10181818181818,71.56084656084656,95.84608657630083,7.7938106982171265,22.967842250732,84.05177287501417,1.444833625218914,3.510825043885313,52.84422403733956,0.9921298388011242,0.9983098282805046,0.9999073805074188,0.6266087815290025,0.8700610873711354,0.997001341316583,0.34459431691130976,0.6170406253864492,0.9453530337638084,14.040191833001574,17.536328171491586,3.496136338490011
Albania,Europe,5352.85741103671,Upper middle income,28717.48834415989,8195690.675296901,0.0007989484201057804,5776,50.84554650575564,0.04639541057697291,176,12,39.827611829395146,55.503829403814386,89.29157345264727,7.2302860655606445,20.52603836785204,67.57453482565994,1.4734335466587287,3.1668153434433535,33.955502463789756,0.6177677015441911,0.8163509054905056,0.999173011874026,0.40368208384501725,0.5938844891002849,0.8616252652438193,0.2289429575497071,0.42671835852929135,0.7096302090913198,10.265261566140131,15.91911904669374,5.653857480553609
Andorra,Europe,40886.3911648431,High income,451.7420097663303,313086.6916094213,0.010476190476190476,473,23.63145071982281,-0.07457614389515804,73,10,32.6980198019802,57.3019801980198,79.64108910891089,10.661010378146246,18.28839133913392,43.04659653465349,0.9282178217821782,0.9158415841584158,3.5767326732673266,0.5962531914674334,0.8126302796079031,0.9571514811915935,0.2110304584247296,0.3563654566945319,0.6312451640341152,0.003589266803602259,0.03639022986049055,0.24511634840928745,6.1131112420250036,12.654235401171332,6.541124159146329
United Arab Emirates,Asia,43103.3230583165,High income,71294.33504006527,21518327.86211954,0.00011766546729790812,47037,76.88559470941918,0.11303849779432665,256,18,24.426494345718904,32.629992464204975,72.73414713190019,3.0861393867527678,8.207109100569303,39.0657201156613,1.0581445061992305,1.0610932475884243,17.258393221066182,0.5785368393903404,0.81623508391608,0.9548433331857928,0.4717769196173665,0.6704700548750375,0.8719490002220973,0.3613180442946619,0.5833811106274006,0.8051024034905994,11.174572150792372,16.884415588664563,5.709843437872192
Argentina,South-America,10006.1489736082,Upper middle income,2788217.569546637,203497252.49674284,4.600046027954614e-05,109420,129.78804775917786,0.06941751587079867,416,16,18.054396796262303,27.298514934089766,90.51204819277108,4.082434470118382,11.286779553734114,62.88718070997048,1.6486261448792672,1.6541353383458646,40.2375773799565,0.9169915108432792,0.9783718690541348,0.9999977131761476,0.8515698731550573,0.9370550945399984,0.9864593441561189,0.7838999910695005,0.8981043724238206,0.9663272274296776,14.840913085675231,19.131163061511273,4.290249975836044
Armenia,Asia,4622.733493286711,Upper middle income,29669.474273066295,9280836.39587009,0.0006462308480195981,6732,45.73674012438889,0.10467001049229173,127,8,28.056318681318682,54.794520547945204,90.50632911392405,8.76322645070801,25.104193617137195,69.39921570600981,1.6928864569083448,1.6940451745379879,42.77634961439589,0.8292795866631144,0.9288502633692759,0.9943406711833229,0.5658563572030612,0.7396755288266925,0.884613453008679,0.3522301980556829,0.6246100530731465,0.8308543712866274,10.2978739939862,16.043462229566334,5.745588235580133
American Samoa,Oceania,11466.6907058505,Upper middle income,223.2762579598278,118359.81944279332,0.060869565217391314,63,6.417391304347826,0.2489270386266094,16,6,,,,,,,,,,,,,,,,,,,5.408409829681624,11.681484581021206,6.273074751339582
Antigua & Barbuda,Central-America,17790.309306815,High income,435.6375329364428,229873.21148084663,0.016862514688601643,287,10.107285546415982,-0.05480594170594506,27,6,11.617794625933772,11.617794625933772,30.744787601739333,1.9426357453450787,3.1162894414092994,6.580420522540605,0.46270487233805324,0.46270487233805324,0.46270487233805324,0.1598984236650272,0.35524619268941404,0.7524019046650624,0.048607183009144836,0.109198733393228,0.2629858119548868,0.0019833402318979697,0.013933688326173291,0.060682594848301234,6.07681055111286,12.345283181477646,6.268472630364785
